Name ( ENG );Latin;Non-Latin;Author;Description;Cover (image file)
86 -Eighty Six-;N/A;86 ―エイティシックス―;Asato Asato (安里アサト / 安里朝都);"The story is set in the Republic of San Magnolia, a nation at war with the neighboring Giadian Empire's autonomous drone army, the Legion. The Republic publicly claims to fight its war using unmanned drones, the ""Juggernaut,"" and that the war has no casualties.

In reality, the ""drones"" are piloted by the Eighty-Six, a group of people from a persecuted minority race who have been stripped of their humanity and forced to fight. They are exiled to the ""nonexistent"" 86th District outside the Republic's 85 official administrative zones.

The story follows Shinei ""Shin"" Nōzen, the captain of the Spearhead Squadron who leads his fellow Eighty-Six into deadly battles, and Vladilena ""Lena"" Milizé, an Alba (the Republic's ruling race) officer who serves as their ""Handler"" — a commander who communicates with them from the distant rear via a special communication system. The series portrays their tragic, harrowing struggle for survival on the battlefield and the bonds they form across the divide of race and prejudice.";https://drive.google.com/file/d/1YFT0dsSupG6AhbwnFI6Ocw8jTHcApKfc/view?usp=drive_link
A Good Day Starts with Cats and Books;Shodana no Hon to Nekobiyori;書棚の本と猫日和;Satori Satori (佐鳥 理);"The story is set in Frère, a cozy ""share bookstore"" tucked away in a corner of Shinjuku. In this unique type of bookshop, individual ""shelf owners"" rent their own spaces to curate and sell books, each adding their personal touch to the collection. The store also has two resident cat mascots: Chiyo, a former stray, and Sumi, a shy girl.

The narrative is a collection of interconnected short stories following a cast of patrons and shelf owners. Among them are a hairstylist struggling to keep up with trends, a student trying to make ends meet, and a bartender eager to understand people through literature. Each character initially appears as a minor figure before becoming the focus of their own chapter, creating a natural sense of flow.

Through these intertwined lives, the light novel gently explores why people read, buy, and—most importantly—share books with others. It examines how people's lives and outlooks are shifted in unpredictable ways by the books they encounter. At its heart, the story is a warm, character-driven piece about human connection, second chances, and the quiet magic of finding the right book at the right time";https://drive.google.com/file/d/1SG6CXJ2MeE45yB0El9uc7CEQtDX9pFSf/view?usp=drive_link
A Sister's All You Need;Imōto Sae Ireba Ii.;妹さえいればいい。;Yomi Hirasaka (平坂読 / 平坂讀);"The story centers on Itsuki Hashima, a 20-year-old light novelist who is obsessively enamored with the idea of little sisters and works tirelessly to create the ultimate younger sister character in his stories. Despite his eccentric obsession, he is surrounded by a colorful and chaotic group of friends and colleagues, including:

Nayuta Kani: A genius, beautiful, and somewhat ""defective"" writer who is deeply in love with Itsuki.

Miyako Shirakawa: A college classmate troubled by love, friendship, and her dreams.

Chihiro: Itsuki's younger stepbrother, who is the stable presence in his life but harbors a major secret.

Other quirky figures like a talented illustrator, a sadistic tax accountant, and his long-suffering editor.

The series is a romantic comedy that follows the mundane yet chaotic everyday lives of this group as they play games, travel, and work together in the light novel industry. The plot explores themes of creativity, relationships, and personal growth, with Itsuki's obsession with sisters serving as a comedic and thematic backdrop. The light novel series ran from March 2015 to February 2020, totaling 14 volumes.";https://drive.google.com/file/d/1P3E3H9hdlPWxXKVmxXejSejF9AzTd5ku/view?usp=drive_link
A Very Popular Idol Classmate Has Taken a Liking to Me, a Person Who Doesn't Want to Work for Life;Isshou Hatarakitakunai Ore ga, Classmate no Daininki Idol ni Natsukaretara;一生働きたくない俺が、クラスメイトの大人気アイドルに懐かれたら;Kazuha Kishimoto (岸本和葉);"The story follows Rintarou Shidou, a high school student who aspires to be a full-time househusband. In his class is Rei Otosaki, the center of the very popular idol group ""Mille-feuille Stars"". Rintarou has no particular interest in idols and lives his life without engaging with her.

One day, a turning point arrives. Rintarou inadvertently helps Rei when she collapses at the nearest station and discovers that she is too hungry to move due to her rigorous lessons. He has no choice but to serve her a home-cooked meal. Although he tells her this will be their only interaction, Rei makes him a surprising offer: ""I'll pay 300,000 yen a month, and I'll also pay for food for the two of us. So, please provide me with food every day.""

Rintarou is wary of such a tempting offer, but as he gets to know her unclouded heart, the bond between them gradually deepens. Eventually, Rintarou is also favored by other members of the Mille-feuille Stars. This is a romantic comedy about a secret semi-cohabitation life between a top idol and an ordinary high school boy.";https://drive.google.com/file/d/1JgzD1uk2Vg2bqAyj8p9QWnXoQUHQi4dU/view?usp=drive_link
Alya Sometimes Hides Her Feelings in Russian;Tokidoki Bosotto Roshiago de Dereru Tonari no Ārya-san;時々ボソッとロシア語でデレる隣のアーリャさん;SunSunSun (燦々SUN);"The story is set at Seirei Academy, a prestigious high school. The protagonist, Masachika Kuze, is a lazy, unremarkable student. He sits next to Alisa Mikhailovna Kujou (nicknamed Alya), a beautiful and haughty girl of Russian and Japanese descent who is an exceptional student and the admiration of everyone at school.

However, Alya has a secret. Whenever she is feeling shy, embarrassed, or affectionate, she mutters sweet, lovey-dovey things under her breath in Russian. Her assumption is that no one around her can understand the language. The twist is that Masachika, who is fluent in Russian, secretly understands every word she says but pretends not to.

The series follows their daily life and the romantic comedy that ensues as Alya's true feelings are inadvertently revealed through her Russian whispers, all while Masachika keeps her secret and navigates his own hidden past. The light novel was originally published online as two short stories on the website Shōsetsuka ni Narō in May 2020, before being published as a full series by Kadokawa Sneaker Bunko starting in February 2021.";https://drive.google.com/file/d/1PE7b8uRlHVQt1rF6J386L1jWyXk6f-w7/view?usp=drive_link
An Autumn in Amber, a Zero-Second Journey;Kohaku no Aki, 0-byou no Tabi;琥珀の秋、0秒の旅;Mei Hachimoku (八目迷);"The story follows Kayato Mugino, a socially awkward high school loner with an intense fear of being touched. During a school field trip to Hakodate, he struggles to connect with his classmates—until suddenly, time stops for the entire world.

Kayato finds himself the only person still moving in the silent, frozen city—until he discovers Akira Iguma, a sharp-tongued local delinquent who is his complete opposite. She begrudgingly agrees to help him solve the mystery. Their only clue comes from Kayato's late uncle, who spoke of a ""world plucked out of time, as if preserved in amber"" before he died. Hoping to find answers among his uncle's possessions in Tokyo, the two teens must journey together through the frozen world.

The novel is a supernatural drama about setting aside differences to solve the mystery of a world frozen in time, and is part of the author's ""Four Seasons"" series—this being the autumn entry.";https://drive.google.com/file/d/1upv1oTis5cfTCPN6bA-6C52kD6e_Q4kx/view?usp=drive_link
An Introvert's Hookup Hiccups: This Gyaru Is Head Over Heels for Me!;Inkya no Boku ni Batsu Gēmu de Kokuhaku Shite Kita Hazu no Gyaru ga, Dō Mitemo Boku ni Beta Bore desu;陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです;Yuishi (故事);"The story follows Yōshin Misumai, a quiet loner with no friends in his high school class. One day, Nanami Barato, a popular gyaru (gal), suddenly confesses her love to him.

However, Yoshin knows the truth: Nanami's confession is actually a punishment for losing a game. As part of the dare, she must confess to him, and if successful, they are to date for one month. Despite knowing the plan, Yoshin decides to go along with it.

But as their ""fake"" relationship progresses, Yoshin begins to realize that Nanami's feelings might not be an act after all. The series follows their sweet and awkward romantic comedy as their relationship, which started as a game, gradually deepens into something genuine.";https://drive.google.com/file/d/1CHVXpPpGWN3wuUKH5ecg5xwvUqPmdavc/view?usp=drive_link
Bottom-tier Character Tomozaki;Jaku-kyara Tomozaki-kun;弱キャラ友崎くん;Yūki Yaku (屋久ユウキ / 屋久悠樹);"The story centers on Fumiya Tomozaki, a socially awkward high school student who is Japan's top player in the popular online fighting game Attack Families (known as ""Tackfam""). Despite his mastery of the virtual world, he views real life as a ""shitty game""—unfair, unbalanced, and full of unclear rules.

Everything changes when he meets Aoi Hinami, his popular and perfect classmate who also happens to be the second-best Tackfam player in Japan. Recognizing Tomozaki's talent, she takes it upon herself to teach him the ""rules"" of the real world, treating life as just another game to be mastered. Under her guidance, Tomozaki begins a journey of self-improvement, learning social skills, making friends, and navigating the complexities of high school life. The series is a romantic comedy that explores themes of personal growth, identity, and the struggle to find one's place in the world.
";https://drive.google.com/file/d/1cglngPTzC6Lh5NsX_kU1I5C5g4s8lzX-/view?usp=drive_link
Campfire Cooking in Another World with My Absurd Skill;Tondemo Sukiru de Isekai Hōrō Meshi;とんでもスキルで異世界放浪メシ;Ren Eguchi (江口連);"Tsuyoshi Mukouda is a completely ordinary salaryman from modern-day Japan who is suddenly summoned to a fantasy world of swords and sorcery. He is joined by three other Japanese citizens who were summoned to be heroes and save the kingdom.

However, there is one major problem: Tsuyoshi was summoned by mistake. His stats are laughably weak compared to the other heroes, and the kingdom that summoned him seems suspicious. After being abruptly expelled from the palace, Tsuyoshi decides to make his own way in this new world.

His only asset is his unique skill: the ""Online Supermarket"" (also called ""Online Grocery"" or ""Food Menu""). This seemingly useless skill allows him to access a magical shopping menu and purchase modern Japanese ingredients, condiments, and other goods.

Though the skill is useless for combat, Tsuyoshi uses it to cook incredible modern meals. His cooking turns out to have powerful stat-boosting effects in this fantasy world, and his delicious food soon attracts powerful familiars, including:

Fel: A legendary Fenrir wolf

Sui: An adorable slime

Dora-chan: A pixie dragon

The series follows Tsuyoshi's adventures as he travels the fantasy world, cooking mouth-watering meals, building bonds with his powerful companions, and living life on his own terms.";https://drive.google.com/file/d/1APcqBnxYwR8PbCjKnPz1WBHyV3xbDT7v/view?usp=drive_link
Chitose Is in the Ramune Bottle;Chitose-kun wa Ramune Bin no Naka;千歳くんはラムネ瓶のなか;"Hiromu (裕夢)
";"The story follows Saku Chitose, a student in Class 5 who reigns at the top of the social hierarchy at Fuji High School. He is handsome, brilliant, and incredibly popular. However, his reputation isn't spotless—he's referred to as a ""womanizing scumbag"" on the school's anonymous underground website.

Despite the online slander, Chitose is always surrounded by a group of charismatic and attractive friends, including:

Yuko Hiiragi: A girl with an overwhelming princess aura.

Yua Uchida: A ""hardworking-type"" who has cultivated her popularity.

Haru Aomi: The energetic ace of the basketball club.

Chitose's seemingly perfect life takes a turn when he is entrusted with a new task: to help a shut-in student return to school. The series is a ""riajuu"" (popular kid) youth romantic comedy that won the Excellence Award at the 13th Shogakukan Light Novel Awards. It was originally submitted for the award under the title The Marble Moon Sunk in a Ramune Bottle (ラムネの瓶に沈んだビー玉の月).
";https://drive.google.com/file/d/1lTWzjtqvMyQKivxdAGeThZ_K8rf89tIX/view?usp=drive_link
